Corrente do Motor;Taxa da Balanca
50;7472,104
50;7308,534
48,1;7308,534
48,1;7308,534
45,6;7101,839
45,6;7101,839
45,6;6819,611
44,4;6819,611
44,4;6632,82
41,4;6632,82
41,4;6771,383
42,6;6771,383
42,6;6771,383
43,8;7383,301
43,8;7383,301
43,8;7893,404
59,2;7893,404
59,2;7833,947
56,2;7833,947
56,2;7507,574
48,8;7507,574
48,8;7507,574
39,9;7785,208
39,9;7785,208
39,9;7931,936
58,8;7931,936
58,8;7543,554
52,6;7543,554
52,6;6800,983
44,4;6800,983
44,4;5886,422
38,4;5886,422
38,4;5886,422
35,4;5345,954
35,4;5345,954
35,4;5262,765
35,9;5262,765
35,9;5544,483
37,8;5544,483
37,8;6035,958
39;6035,958
39;6035,958
44,1;6709,884
44,1;6709,884
44,1;7221,263
47;7221,263
47;7526,712
48,4;7526,712
48,4;7587,444
48,3;7587,444
48,3;7587,444
47,7;7508,85
47,7;7508,85
47,7;7478,738
47,6;7478,738
47,6;7652,515
46,6;7652,515
46,6;7704,316
48,3;7704,316
48,3;7704,316
47,4;7707,633
47,4;7707,633
47,4;8291,228
47,7;8291,228
47,7;8741,874
71;8741,874
71;8411,162
100,7;8411,162
100,7;8129,444
67,8;8129,444
67,8;8129,444
48,4;7920,963
48,4;7920,963
48,4;7903,356
38,2;7903,356
38,2;7567,541
35;7567,541
35;6983,437
35,5;6983,437
35,5;6983,437
40,2;6710,395
40,2;6710,395
40,2;6668,546
43,2;6668,546
43,2;6774,7
45,2;6774,7
45,2;6768,831
46,2;6768,831
46,2;6768,831
46,1;6809,404
46,1;6809,404
46,1;4458,187
47,5;4458,187
47,5;6579,999
44,8;6579,999
44,8;6385,552
42,8;6385,552
42,8;6385,552
43,2;6338,6
43,2;6338,6
43,2;6328,647
44,7;6328,647
44,7;6374,835
45,8;6374,835
45,8;6446,029
44,2;6446,029
44,2;6446,029
43,4;6420,256
43,4;6420,256
43,4;6256,432
43,6;6256,432
43,6;5613,381
41,8;5613,381
41,8;4346,929
37,4;4346,929
37,4;4346,929
31,3;3504,839
31,3;3504,839
31,3;3738,838
30,3;3738,838
30,3;4365,557
32,2;4365,557
32,2;5123,438
36,9;5123,438
36,9;5123,438
41,1;5498,296
41,1;5498,296
41,1;5337,278
47,4;5337,278
47,4;4511,775
35;4511,775
35;4213,725
33,8;4213,725
33,8;4213,725
34,1;4294,618
34,1;4294,618
34,1;5014,477
38;5014,477
38;5672,583
41,6;5672,583
41,6;6018,095
48,3;6018,095
48,3;6018,095
41,6;6005,847
41,6;6005,847
41,6;5859,374
39,5;5859,374
39,5;5891,782
42,4;5891,782
42,4;6230,148
48,2;6230,148
48,2;6230,148
52,2;6666,249
52,2;6666,249
52,2;7425,406
57,2;7425,406
57,2;7981,44
63;7981,44
63;8190,687
63,9;8190,687
63,9;8190,687
61,3;8104,692
61,3;8104,692
61,3;7747,952
57,4;7747,952
57,4;6908,669
46,5;6908,669
46,5;6268,681
41,1;6268,681
41,1;5720,812
39;5720,812
39;5720,812
40,9;5604,96
40,9;5604,96
40,9;5852,229
44,1;5852,229
44,1;6126,291
48,1;6126,291
48,1;6205,141
48,8;6205,141
48,8;6205,141
44,9;6015,798
44,9;6015,798
44,9;5682,279
42,2;5682,279
42,2;5633,541
39,5;5633,541
39,5;5953,535
46;5953,535
46;5953,535
48;7231,725
48;7231,725
48;8096,016
73,9;8096,016
73,9;7969,958
83,9;7969,958
83,9;7912,542
66,1;7912,542
66,1;7900,805
55,8;7900,805
55,8;7900,805
40,4;7630,315
40,4;7630,315
40,4;6562,136
37,1;6562,136
37,1;5622,568
35,1;5622,568
35,1;5272,208
37,8;5272,208
37,8;5272,208
40,3;5236,737
40,3;5236,737
40,3;5607,002
44,9;5607,002
44,9;5934,651
47,1;5934,651
47,1;6021,923
46,6;6021,923
46,6;6021,923
44,8;6161,25
44,8;6161,25
44,8;6393,208
45;6393,208
45;6564,432
47,7;6564,432
47,7;6538,405
51,8;6538,405
51,8;6538,405
50,9;6418,726
50,9;6418,726
50,9;6299,046
45,5;6299,046
45,5;6046,165
40;6046,165
40;6786,183
38,8;6786,183
38,8;7952,095
40,5;7952,095
40,5;7952,095
77,8;8539,262
77,8;8539,262
77,8;8565,546
57,5;8565,546
57,5;8450,715
49,1;8450,715
49,1;7761,477
51,1;7761,477
51,1;7761,477
40,8;6261,025
40,8;6261,025
40,8;5074,188
35,4;5074,188
35,4;4926,44
34,6;4926,44
34,6;6239,335
34,6;6239,335
34,6;6239,335
58,1;7766,325
58,1;7766,325
58,1;7892,894
59,4;7892,894
59,4;6877,792
44,3;6877,792
44,3;5078,527
37,8;5078,527
37,8;5078,527
33;3082,773
33;3082,773
33;1793,865
28,2;1793,865
28,2;1693,069
27,1;1693,069
27,1;2862,809
28,3;2862,809
28,3;2862,809
38;4577,355
38;4577,355
38;6338,089
52,3;6338,089
52,3;7649,453
63,8;7649,453
63,8;8276,938
61,5;8276,938
61,5;8276,938
52,7;8653,326
52,7;8653,326
52,7;9115,965
46,1;9115,965
46,1;8990,673
76;8990,673
76;7613,983
51,1;7613,983
51,1;7613,983
32,6;5513,606
32,6;5513,606
32,6;3757,466
29,5;3757,466
29,5;3699,795
31,2;3699,795
31,2;4673,303
36,5;4673,303
36,5;4673,303
48,5;6100,772
48,5;6100,772
48,5;7451,179
51,1;7451,179
51,1;8121,278
66,2;8121,278
66,2;7786,484
61,3;7786,484
61,3;7786,484
51,4;6818,591
51,4;6818,591
51,4;6141,602
44,3;6141,602
44,3;5909,388
38,7;5909,388
38,7;5881,063
42,2;5881,063
42,2;5881,063
43,6;5941,796
43,6;5941,796
43,6;6535,343
43,2;6535,343
43,2;7631,591
45,5;7631,591
